Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number)
North America (WB),,1990,168.77,211.16,593191
North America (WB),,1991,167.68,211.14,599911
North America (WB),,1992,166.67,211.32,607127
North America (WB),,1993,168.06,214.65,623315
North America (WB),,1994,167.69,215.36,631803
North America (WB),,1995,167.48,216.67,642000
North America (WB),,1996,165.21,215.1,643604
North America (WB),,1997,162.77,213.47,644946
North America (WB),,1998,161.42,213.48,651234
North America (WB),,1999,161.13,214.45,660564
North America (WB),,2000,159.74,214.2,666260
North America (WB),,2001,158.2,213.48,670468
North America (WB),,2002,156.74,213.22,676110
North America (WB),,2003,154.58,212.27,679660
North America (WB),,2004,151.29,209.57,677646
North America (WB),,2005,149.88,209.95,685608
North America (WB),,2006,148.15,209.62,691470
North America (WB),,2007,146.44,209.79,699040
North America (WB),,2008,145.62,211.56,711868
North America (WB),,2009,144.1,212.03,720101
North America (WB),,2010,141.48,211.49,724577
North America (WB),,2011,140.65,213.34,737034
North America (WB),,2012,139.28,214.69,747616
North America (WB),,2013,137.97,216.36,759264
North America (WB),,2014,137.11,218.36,771992
North America (WB),,2015,136.09,220.38,784693
North America (WB),,2016,135.89,223.31,800351
North America (WB),,2017,134.8,225.32,812480
North America (WB),,2018,136.02,231.93,841088
North America (WB),,2019,136.93,237.86,867146
Puerto Rico,PRI,1990,126.45,125.12,4521
Puerto Rico,PRI,1991,125.47,126.84,4625
Puerto Rico,PRI,1992,125,128.95,4744
Puerto Rico,PRI,1993,125.45,131.92,4896
Puerto Rico,PRI,1994,122.36,131.1,4907
Puerto Rico,PRI,1995,125.15,136.6,5153
Puerto Rico,PRI,1996,123.68,137.8,5235
Puerto Rico,PRI,1997,117.2,133.28,5096
Puerto Rico,PRI,1998,121.11,140.49,5401
Puerto Rico,PRI,1999,115,136.19,5259
Puerto Rico,PRI,2000,113.23,136.96,5308
Puerto Rico,PRI,2001,113.98,141.14,5480
Puerto Rico,PRI,2002,108.58,137.82,5352
Puerto Rico,PRI,2003,108.51,141.24,5481
Puerto Rico,PRI,2004,108.95,145.38,5633
Puerto Rico,PRI,2005,107.71,147.18,5690
Puerto Rico,PRI,2006,105.13,147.29,5679
Puerto Rico,PRI,2007,105.07,151.16,5810
Puerto Rico,PRI,2008,104.61,154.4,5913
Puerto Rico,PRI,2009,106.12,160.69,6129
Puerto Rico,PRI,2010,101.55,158.08,6005
Puerto Rico,PRI,2011,105.45,168.36,6368
Puerto Rico,PRI,2012,99.68,163.93,6172
Puerto Rico,PRI,2013,100.7,170.11,6375
Puerto Rico,PRI,2014,98.14,170.51,6357
Puerto Rico,PRI,2015,93.71,167.55,6212
Puerto Rico,PRI,2016,95.64,175.96,6485
Puerto Rico,PRI,2017,96.12,183.97,6651
Puerto Rico,PRI,2018,96.55,192.38,6822
Puerto Rico,PRI,2019,96.13,196.97,6936
United States,USA,1990,168.98,212.59,539139
United States,USA,1991,167.9,212.46,544760
United States,USA,1992,166.9,212.55,550919
United States,USA,1993,168.43,215.97,565698
United States,USA,1994,168.16,216.69,573321
United States,USA,1995,168.02,217.94,582371
United States,USA,1996,165.7,216.14,583202
United States,USA,1997,163.2,214.24,583773
United States,USA,1998,161.84,214.05,589017
United States,USA,1999,161.72,215.04,597618
United States,USA,2000,160.38,214.65,602487
United States,USA,2001,158.95,213.84,606130
United States,USA,2002,157.57,213.47,610949
United States,USA,2003,155.18,212.02,612745
United States,USA,2004,151.64,208.81,609433
United States,USA,2005,150.18,208.97,615940
United States,USA,2006,148.41,208.43,620516
United States,USA,2007,146.5,208.17,625940
United States,USA,2008,145.71,209.87,637146
United States,USA,2009,144.25,210.32,644331
United States,USA,2010,141.68,209.83,648290
United States,USA,2011,140.97,211.76,659516
United States,USA,2012,139.54,212.94,668318
United States,USA,2013,138.23,214.57,678428
United States,USA,2014,137.31,216.41,689157
United States,USA,2015,136.43,218.6,700941
United States,USA,2016,136.36,221.65,715197
United States,USA,2017,135.26,223.61,725719
United States,USA,2018,136.38,229.96,750419
United States,USA,2019,137.37,235.96,773895
United States Virgin Islands,VIR,1990,157.72,119.63,127
United States Virgin Islands,VIR,1991,157.24,122.59,131
United States Virgin Islands,VIR,1992,158.1,126.58,135
United States Virgin Islands,VIR,1993,159.71,131.25,141
United States Virgin Islands,VIR,1994,162.17,136.77,148
United States Virgin Islands,VIR,1995,159.96,138.5,151
United States Virgin Islands,VIR,1996,160.54,142.76,156
United States Virgin Islands,VIR,1997,159.68,145.77,160
United States Virgin Islands,VIR,1998,159.45,149.57,165
United States Virgin Islands,VIR,1999,161.82,155.94,173
United States Virgin Islands,VIR,2000,162.65,160.86,178
United States Virgin Islands,VIR,2001,163.4,166.38,185
United States Virgin Islands,VIR,2002,163.53,171.53,190
United States Virgin Islands,VIR,2003,163.41,176.68,196
United States Virgin Islands,VIR,2004,163.91,182.83,202
United States Virgin Islands,VIR,2005,164.12,188.69,208
United States Virgin Islands,VIR,2006,167.92,199.76,220
United States Virgin Islands,VIR,2007,189.45,236.38,259
United States Virgin Islands,VIR,2008,190.95,245.22,268
United States Virgin Islands,VIR,2009,192.07,253.74,276
United States Virgin Islands,VIR,2010,193.29,262.49,284
United States Virgin Islands,VIR,2011,193.32,270,291
United States Virgin Islands,VIR,2012,193.42,277.82,299
United States Virgin Islands,VIR,2013,192.56,284.29,304
United States Virgin Islands,VIR,2014,191.55,290.44,309
United States Virgin Islands,VIR,2015,191.13,297.42,315
United States Virgin Islands,VIR,2016,188.31,300.78,317
United States Virgin Islands,VIR,2017,187.01,306.54,322
United States Virgin Islands,VIR,2018,185.68,312.08,326
United States Virgin Islands,VIR,2019,184.32,317.27,330
