Entity,Code,Year,Deaths - Liver cancer - Sex: Both - Age: All Ages (Number),Deaths - Kidney cancer - Sex: Both - Age: All Ages (Number),Deaths - Lip and oral cavity cancer - Sex: Both - Age: All Ages (Number),"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (Number)",Deaths - Larynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Gallbladder and biliary tract cancer - Sex: Both - Age: All Ages (Number),Deaths - Malignant skin melanoma - Sex: Both - Age: All Ages (Number),Deaths - Leukemia - Sex: Both - Age: All Ages (Number),Deaths - Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Multiple myeloma - Sex: Both - Age: All Ages (Number),Deaths - Other neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Breast cancer - Sex: Both - Age: All Ages (Number),Deaths - Prostate cancer - Sex: Both - Age: All Ages (Number),Deaths - Thyroid cancer - Sex: Both - Age: All Ages (Number),Deaths - Stomach cancer - Sex: Both - Age: All Ages (Number),Deaths - Bladder cancer - Sex: Both - Age: All Ages (Number),Deaths - Uterine cancer - Sex: Both - Age: All Ages (Number),Deaths - Ovarian cancer - Sex: Both - Age: All Ages (Number),Deaths - Cervical cancer - Sex: Both - Age: All Ages (Number),Deaths - Brain and central nervous system cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
North America (WB),,1990,7077,12256,6831,171306,4660,5111,7588,23438,1955,11202,6065,52888,40336,1392,21406,13775,6139,15850,6741,14007,23739,31373,12514,511,1086,2233,71913,2529,2509
North America (WB),,1991,7373,12526,6795,173318,4696,5088,7729,23692,1915,11497,6185,53110,41249,1417,21248,13953,6160,15952,6733,14205,24561,31854,12759,507,1085,2206,72022,2568,2549
North America (WB),,1992,7758,12818,6764,175445,4707,5066,7912,23936,1876,11827,6335,53108,42123,1452,21042,14187,6192,16114,6722,14390,25334,32457,13043,504,1085,2189,72338,2614,2595
North America (WB),,1993,8212,13233,6868,180529,4796,5111,8203,24551,1846,12246,6540,54119,43015,1508,21274,14634,6350,16301,6807,14679,26543,33630,13520,503,1099,2199,74152,2666,2668
North America (WB),,1994,8654,13557,6839,182869,4813,5116,8381,24911,1799,12572,6696,54465,43458,1537,21137,14925,6429,16512,6834,14915,27479,34304,13881,497,1096,2199,74779,2692,2718
North America (WB),,1995,9129,13884,6871,186555,4848,5126,8589,25353,1771,12880,6882,54701,43766,1581,21095,15256,6506,16917,6854,15110,28335,34966,14250,490,1096,2196,75527,2722,2779
North America (WB),,1996,9553,14017,6771,186749,4803,5089,8697,25512,1734,13076,7016,54380,43608,1615,20766,15460,6534,17055,6842,15258,28750,35285,14490,487,1087,2171,75150,2737,2804
North America (WB),,1997,10013,14144,6705,186900,4747,5069,8772,25611,1703,13265,7135,54007,43216,1649,20483,15653,6554,17240,6825,15418,29057,35599,14717,481,1072,2162,74934,2755,2821
North America (WB),,1998,10561,14372,6695,188767,4753,5080,8902,25891,1667,13525,7318,53773,43234,1688,20402,15993,6632,17464,6807,15673,29296,36283,15146,482,1067,2172,75523,2798,2868
North America (WB),,1999,11116,14557,6685,191065,4774,5154,9047,26317,1649,13813,7501,54075,43252,1748,20491,16390,6768,17790,6879,16071,29453,37322,15644,482,1057,2185,76951,2891,2916
North America (WB),,2000,11648,14908,6697,192485,4774,5195,9217,26609,1618,14025,7710,54112,43130,1798,20339,16691,6859,18065,6907,16316,29199,38096,16054,479,1052,2200,77475,2946,2969
North America (WB),,2001,12099,15164,6740,193234,4755,5212,9399,26869,1610,14188,7846,54163,42826,1841,20187,16957,6975,18367,6946,16490,28780,38995,16417,477,1049,2245,77772,3018,2992
North America (WB),,2002,12615,15504,6801,194755,4752,5220,9595,27180,1609,14371,7953,54156,42802,1881,20119,17327,7073,18617,6973,16666,28186,39968,16826,485,1050,2286,78130,3077,3052
North America (WB),,2003,13170,15839,6832,195308,4730,5227,9765,27404,1601,14455,8089,54021,42699,1903,19967,17588,7138,18770,7003,16781,28090,40863,17116,480,1050,2315,77904,3126,3093
North America (WB),,2004,13729,15983,6784,194326,4660,5180,9832,27342,1583,14494,8168,53301,42457,1940,19570,17859,7192,18955,6972,16833,27517,41429,17318,481,1049,2337,76512,3171,3095
North America (WB),,2005,14595,16330,6866,195451,4691,5229,10077,27816,1589,14674,8385,53654,42554,2004,19653,18446,7403,18603,7085,17118,27604,42692,17814,484,1058,2399,76935,3270,3145
North America (WB),,2006,15379,16527,6890,197111,4665,5209,10231,28081,1594,14760,8599,53605,42637,2056,19594,18894,7578,18744,7197,17339,27488,43555,18108,486,1065,2427,76763,3378,3127
North America (WB),,2007,16216,16798,6943,199019,4629,5235,10386,28391,1579,14952,8799,53672,42603,2094,19528,19276,7751,19000,7271,17652,27490,44699,18439,488,1074,2503,77105,3492,3140
North America (WB),,2008,17029,17216,7056,202402,4657,5289,10656,28902,1558,15172,9063,54183,42754,2155,19611,19756,8013,19340,7386,18062,27670,46421,18889,497,1079,2582,78349,3602,3190
North America (WB),,2009,17779,17516,7137,203762,4632,5326,10916,29180,1544,15404,9310,54503,42806,2203,19496,20053,8248,19666,7487,18433,27657,47858,19211,505,1085,2655,78964,3734,3230
North America (WB),,2010,18585,17844,7276,202165,4601,5389,11097,29383,1531,15751,9580,54488,43165,2246,19361,20499,8519,19158,7576,18763,27624,49195,19554,511,1086,2752,79500,3864,3239
North America (WB),,2011,19442,18184,7436,204207,4642,5456,11298,29931,1525,16073,9850,55115,43561,2290,19579,20967,8890,19313,7777,19258,27988,50779,19980,516,1099,2852,80940,4012,3286
North America (WB),,2012,20216,18523,7595,205531,4683,5514,11477,30346,1523,16441,10090,55459,44089,2332,19749,21391,9221,19535,7947,19760,28291,52265,20390,522,1117,2947,81945,4164,3319
North America (WB),,2013,20994,18923,7771,206871,4745,5590,11665,30810,1528,16821,10350,55896,45030,2396,19956,21892,9586,19774,8138,20264,28671,53705,20795,526,1132,3040,83069,4331,3340
North America (WB),,2014,21889,19284,7959,208138,4817,5686,11823,31277,1541,17216,10606,56733,46271,2455,20172,22400,9985,20018,8342,20801,29177,55228,21202,531,1153,3151,84240,4520,3377
North America (WB),,2015,22872,19780,8165,208332,4896,5768,12017,31694,1561,17678,10827,57641,47565,2521,20450,23002,10378,19802,8526,21345,29792,56990,21702,532,1179,3260,85950,4678,3409
North America (WB),,2016,23851,20177,8393,210520,5030,5870,12239,32225,1571,18111,10988,58478,49095,2595,20793,23612,10728,20086,8637,21799,30498,58804,22258,543,1205,3357,87978,4767,3501
North America (WB),,2017,24496,20574,8439,213554,5110,5920,12498,32647,1607,18613,11133,58687,50702,2611,21003,23989,10714,20470,8616,22060,31167,59512,22666,538,1217,3367,89420,4796,3611
North America (WB),,2018,25441,21343,8705,222744,5318,6080,12893,33737,1642,19269,11494,59788,53070,2682,21760,24980,10912,20935,8677,22461,32430,61583,23537,535,1243,3451,92689,4905,3731
North America (WB),,2019,26477,22003,8896,230279,5444,6249,13203,34708,1669,19943,11888,61601,54874,2754,22316,25762,11265,21632,8798,22861,33584,63556,24148,532,1263,3510,95668,5001,3832
Puerto Rico,PRI,1990,255,77,113,622,92,45,18,192,24,93,23,370,513,24,414,93,51,32,102,34,182,80,243,2,18,62,487,24,8
Puerto Rico,PRI,1991,249,78,112,637,93,46,19,194,25,96,24,385,542,24,417,96,51,35,103,36,187,89,240,2,18,61,506,25,8
Puerto Rico,PRI,1992,239,78,109,656,91,48,19,199,25,100,25,398,579,24,421,98,52,40,102,40,192,102,240,3,19,58,531,26,9
Puerto Rico,PRI,1993,222,79,109,677,91,50,20,203,26,105,26,415,604,24,427,105,54,46,104,45,198,124,244,3,19,57,566,27,9
Puerto Rico,PRI,1994,181,76,105,677,91,51,21,200,26,109,27,416,616,22,419,109,55,58,105,54,193,165,236,4,20,54,581,28,9
Puerto Rico,PRI,1995,166,75,105,712,96,51,23,212,25,113,28,434,644,22,431,117,60,70,109,64,205,201,243,4,21,54,632,29,10
Puerto Rico,PRI,1996,151,77,102,714,95,51,24,214,26,116,30,446,665,22,422,119,60,79,109,70,207,229,241,5,21,52,657,28,10
Puerto Rico,PRI,1997,136,76,93,684,90,48,23,210,25,120,30,421,664,21,405,117,58,87,104,75,202,229,231,5,20,47,649,31,10
Puerto Rico,PRI,1998,135,79,96,729,96,48,24,223,25,130,32,455,681,21,425,123,63,94,110,82,213,259,236,5,22,49,714,33,11
Puerto Rico,PRI,1999,136,78,87,696,87,46,23,216,24,130,33,449,660,19,404,125,62,101,106,84,205,256,219,5,20,46,716,34,10
Puerto Rico,PRI,2000,137,80,86,699,84,47,24,220,23,131,33,458,659,20,395,127,63,108,106,84,207,264,209,6,20,46,746,36,10
Puerto Rico,PRI,2001,144,85,91,721,82,47,24,224,22,136,33,470,674,20,402,130,68,112,106,84,214,277,210,6,20,47,805,37,10
Puerto Rico,PRI,2002,143,83,87,688,76,44,25,219,21,137,33,472,672,20,378,130,68,114,104,81,209,267,195,6,20,45,793,37,9
Puerto Rico,PRI,2003,149,85,88,701,73,45,25,228,21,141,34,497,676,21,373,136,73,119,108,81,213,272,192,6,20,44,835,37,9
Puerto Rico,PRI,2004,152,91,90,722,71,46,25,232,20,142,36,513,692,21,379,142,75,121,109,83,224,283,187,6,20,44,873,41,9
Puerto Rico,PRI,2005,157,94,90,734,70,45,26,233,20,146,36,508,699,21,370,145,75,122,106,84,230,293,183,6,21,44,894,44,9
Puerto Rico,PRI,2006,161,96,88,737,66,44,26,230,20,146,38,508,701,21,356,144,78,124,107,85,230,293,176,6,20,42,896,45,9
Puerto Rico,PRI,2007,166,98,87,749,66,45,27,233,20,153,40,528,715,21,351,150,81,126,109,89,236,309,175,7,20,43,922,47,9
Puerto Rico,PRI,2008,172,101,87,757,63,46,28,234,21,158,42,549,722,22,346,157,82,129,113,94,236,323,171,6,20,43,941,49,10
Puerto Rico,PRI,2009,179,105,90,792,62,46,29,239,21,164,44,565,745,24,350,165,82,131,116,98,241,348,176,6,20,42,992,52,10
Puerto Rico,PRI,2010,177,104,86,766,58,44,28,235,21,165,45,555,738,23,331,165,83,134,115,99,233,349,166,6,19,40,960,54,10
Puerto Rico,PRI,2011,191,111,91,814,61,45,29,248,22,176,48,596,758,24,353,178,88,139,121,106,245,384,169,7,20,42,1031,56,12
Puerto Rico,PRI,2012,188,108,87,784,58,44,27,238,21,177,47,565,756,24,336,171,85,140,115,105,233,380,163,7,20,40,986,57,11
Puerto Rico,PRI,2013,195,113,90,803,59,45,29,245,22,182,50,592,763,25,343,175,90,143,120,110,240,402,168,7,20,42,1027,60,11
Puerto Rico,PRI,2014,193,114,87,791,58,45,30,244,22,185,51,591,766,25,335,174,93,144,120,111,235,405,164,7,20,41,1027,60,12
Puerto Rico,PRI,2015,191,118,87,769,58,43,30,239,22,184,51,558,770,25,318,170,91,145,115,108,225,403,160,7,20,42,991,60,11
Puerto Rico,PRI,2016,199,122,89,786,61,45,32,252,22,192,55,594,796,26,327,179,100,148,120,112,235,423,166,7,20,43,1053,63,12
Puerto Rico,PRI,2017,196,124,92,810,62,46,32,256,22,197,56,604,831,27,340,184,100,151,121,111,241,433,173,7,21,44,1084,64,12
Puerto Rico,PRI,2018,195,126,94,831,63,48,33,263,22,201,57,619,860,27,352,189,103,154,123,112,247,444,177,7,21,44,1116,66,13
Puerto Rico,PRI,2019,195,128,95,845,64,48,34,267,22,205,59,626,888,27,358,193,104,157,124,112,250,450,180,7,22,45,1136,67,13
United States,USA,1990,6454,11418,5968,156256,4181,4438,6974,21448,1803,10252,5552,48212,36236,1252,18949,12125,5614,14428,6202,12669,21702,28596,11388,467,986,2000,65582,2363,2197
United States,USA,1991,6729,11662,5925,157997,4216,4407,7094,21684,1766,10515,5656,48324,36933,1272,18804,12284,5630,14514,6193,12849,22431,29012,11588,464,984,1970,65632,2394,2230
United States,USA,1992,7085,11931,5891,159849,4230,4379,7255,21914,1730,10811,5789,48228,37633,1300,18600,12500,5655,14653,6182,13011,23114,29553,11835,461,982,1951,65878,2434,2269
United States,USA,1993,7499,12317,5983,164512,4316,4413,7520,22504,1702,11194,5976,49144,38400,1349,18813,12903,5797,14810,6260,13276,24219,30631,12267,461,995,1960,67562,2474,2333
United States,USA,1994,7897,12624,5949,166703,4333,4405,7678,22852,1659,11489,6114,49401,38784,1374,18675,13163,5864,15003,6281,13484,25047,31245,12590,455,991,1961,68118,2495,2376
United States,USA,1995,8329,12928,5972,169913,4362,4410,7865,23271,1632,11768,6279,49629,39058,1413,18630,13453,5933,15327,6301,13659,25808,31861,12927,447,991,1959,68781,2516,2428
United States,USA,1996,8712,13040,5880,169962,4323,4366,7951,23407,1599,11937,6395,49243,38880,1440,18308,13630,5952,15443,6284,13778,26143,32106,13125,445,982,1930,68329,2529,2446
United States,USA,1997,9120,13140,5813,169937,4271,4336,8004,23501,1570,12090,6494,48848,38453,1467,18042,13783,5969,15606,6270,13912,26383,32377,13311,440,968,1915,68021,2543,2456
United States,USA,1998,9614,13334,5801,171518,4278,4335,8114,23752,1538,12318,6654,48573,38393,1498,17967,14084,6041,15817,6249,14138,26567,32993,13707,442,964,1921,68446,2587,2497
United States,USA,1999,10124,13477,5789,173605,4303,4399,8239,24163,1521,12579,6818,48880,38342,1554,18073,14440,6181,16137,6316,14514,26725,33983,14178,442,954,1932,69756,2668,2538
United States,USA,2000,10611,13733,5801,174934,4305,4418,8398,24439,1493,12762,7004,48873,38077,1600,17934,14704,6273,16388,6337,14740,26515,34696,14560,439,950,1942,70113,2714,2586
United States,USA,2001,11034,13980,5831,175466,4291,4426,8571,24690,1487,12904,7124,48908,37690,1637,17796,14960,6395,16660,6364,14907,26200,35539,14913,439,947,1986,70301,2778,2596
United States,USA,2002,11534,14248,5883,176729,4293,4422,8756,24951,1488,13064,7213,48817,37557,1669,17713,15296,6491,16876,6373,15077,25894,36426,15292,446,947,2025,70464,2822,2639
United States,USA,2003,12072,14428,5901,176765,4287,4422,8915,25111,1480,13144,7336,48625,37364,1684,17552,15525,6580,17027,6380,15191,25495,37189,15583,442,947,2062,69956,2859,2668
United States,USA,2004,12597,14466,5849,175289,4217,4395,8960,25040,1460,13157,7408,47936,37084,1707,17155,15726,6616,17189,6349,15221,24870,37593,15722,441,945,2084,68415,2895,2663
United States,USA,2005,13339,14723,5938,176055,4248,4451,9174,25481,1464,13304,7612,48236,37218,1764,17205,16205,6791,16888,6463,15457,24871,38710,16159,443,951,2133,68636,2978,2699
United States,USA,2006,14039,14860,5976,177167,4230,4468,9292,25745,1468,13376,7807,48231,37226,1809,17100,16567,6939,17013,6564,15633,24749,39469,16405,446,956,2170,68368,3067,2671
United States,USA,2007,14730,15075,6038,178529,4184,4475,9411,25912,1450,13521,7992,48151,37362,1848,16954,16934,7078,17204,6619,15862,24650,40458,16619,447,960,2221,68360,3159,2676
United States,USA,2008,15408,15438,6155,181510,4208,4522,9645,26315,1430,13709,8240,48575,37600,1907,16991,17380,7307,17486,6723,16203,24791,42067,16985,455,963,2284,69362,3250,2715
United States,USA,2009,16048,15709,6240,182650,4186,4555,9870,26511,1415,13894,8466,48865,37724,1952,16877,17673,7511,17745,6815,16523,24767,43398,17251,462,969,2344,69871,3357,2745
United States,USA,2010,16713,15987,6355,181440,4166,4595,10016,26634,1400,14182,8715,48782,38084,1982,16768,18072,7741,17343,6893,16814,24735,44627,17534,467,971,2422,70297,3465,2743
United States,USA,2011,17462,16311,6535,183292,4211,4673,10204,27108,1394,14467,8950,49367,38505,2037,16942,18558,8087,17445,7075,17227,25045,46058,17904,472,979,2514,71517,3593,2782
United States,USA,2012,18108,16596,6690,184196,4247,4731,10351,27441,1391,14804,9167,49649,39046,2080,17060,18958,8382,17625,7224,17671,25280,47342,18244,476,994,2600,72250,3728,2801
United States,USA,2013,18761,16951,6849,185241,4307,4803,10520,27846,1397,15147,9400,50064,39923,2140,17228,19428,8720,17788,7401,18104,25604,48631,18592,481,1005,2679,73191,3875,2807
United States,USA,2014,19541,17273,7020,186062,4375,4884,10653,28239,1408,15506,9640,50784,41062,2194,17384,19877,9084,17977,7584,18578,26026,49980,18939,487,1023,2779,74101,4047,2826
United States,USA,2015,20428,17728,7216,186439,4450,4953,10829,28624,1427,15929,9832,51610,42207,2259,17632,20436,9445,17810,7754,19070,26571,51625,19402,487,1047,2882,75668,4190,2840
United States,USA,2016,21382,18105,7419,188448,4572,5035,11033,29127,1435,16313,9964,52338,43456,2329,17925,20967,9788,18076,7859,19504,27222,53348,19925,497,1072,2978,77499,4271,2922
United States,USA,2017,21981,18471,7444,191190,4642,5066,11274,29509,1469,16761,10082,52464,44795,2341,18084,21263,9763,18431,7835,19741,27826,53940,20295,492,1084,2985,78717,4293,3017
United States,USA,2018,22833,19151,7660,199320,4824,5186,11624,30481,1502,17338,10395,53344,46829,2401,18695,22098,9926,18848,7881,20094,28932,55706,21067,489,1108,3057,81395,4387,3122
United States,USA,2019,23807,19753,7821,206196,4934,5329,11906,31378,1527,17942,10749,55021,48323,2466,19174,22767,10260,19503,7995,20459,29991,57488,21615,486,1126,3110,84026,4472,3208
United States Virgin Islands,VIR,1990,4,3,2,15,1,2,1,4,0,3,1,15,19,0,9,1,2,3,6,2,4,3,3,0,1,1,15,0,0
United States Virgin Islands,VIR,1991,4,3,2,16,1,2,1,4,0,3,1,15,20,0,9,1,2,3,6,2,5,3,3,0,1,1,16,0,0
United States Virgin Islands,VIR,1992,4,3,2,16,1,2,2,5,0,4,1,15,21,0,9,1,2,3,6,2,5,4,3,0,1,1,17,0,0
United States Virgin Islands,VIR,1993,4,3,2,17,2,2,2,5,0,4,1,16,22,0,10,1,2,3,6,2,5,4,3,0,1,1,18,0,0
United States Virgin Islands,VIR,1994,4,3,2,18,2,2,2,5,0,4,1,17,23,0,10,1,2,3,6,2,5,4,3,0,1,2,19,0,1
United States Virgin Islands,VIR,1995,4,3,2,19,2,2,2,5,0,4,1,17,23,0,10,1,2,3,6,2,5,5,3,0,1,2,20,0,1
United States Virgin Islands,VIR,1996,4,3,2,19,2,2,2,5,0,4,1,18,25,0,10,1,2,4,6,2,5,5,4,0,1,2,20,0,1
United States Virgin Islands,VIR,1997,3,3,2,20,2,2,2,5,0,4,1,18,26,0,10,2,2,4,6,2,5,6,4,0,1,2,21,0,1
United States Virgin Islands,VIR,1998,3,3,2,20,2,2,2,5,0,4,1,18,27,0,10,2,3,5,7,3,5,7,4,0,1,2,22,0,1
United States Virgin Islands,VIR,1999,3,3,2,21,2,2,2,5,0,5,1,19,28,1,11,2,3,5,7,3,6,8,4,0,1,2,23,0,1
United States Virgin Islands,VIR,2000,3,3,2,22,2,2,2,5,0,5,1,19,30,1,11,2,3,5,7,3,6,8,4,0,1,2,24,0,1
United States Virgin Islands,VIR,2001,3,4,2,23,2,2,2,6,0,5,1,20,31,1,11,2,3,6,7,3,6,9,4,0,1,2,25,0,1
United States Virgin Islands,VIR,2002,3,4,2,24,2,2,2,6,0,5,1,20,32,1,11,2,3,6,7,3,6,9,4,0,1,2,26,1,1
United States Virgin Islands,VIR,2003,3,4,2,25,2,2,2,6,0,5,1,20,33,1,11,2,3,6,7,3,6,10,4,0,1,2,27,1,1
United States Virgin Islands,VIR,2004,3,4,2,26,2,2,2,6,0,6,1,21,34,1,11,2,3,7,7,4,6,11,4,0,1,2,28,1,1
United States Virgin Islands,VIR,2005,3,4,3,27,2,2,2,6,0,6,1,21,35,1,12,2,3,7,7,4,6,11,5,0,1,2,29,1,1
United States Virgin Islands,VIR,2006,3,4,3,29,2,2,2,6,0,6,1,22,37,1,12,2,3,7,7,4,7,12,5,0,1,2,31,1,1
United States Virgin Islands,VIR,2007,4,5,3,35,3,2,3,6,0,8,1,22,48,1,15,3,3,7,7,4,8,14,6,0,1,2,37,1,1
United States Virgin Islands,VIR,2008,4,6,4,37,3,3,3,6,0,8,2,23,49,1,15,3,3,7,7,4,8,15,7,0,1,2,38,1,1
United States Virgin Islands,VIR,2009,4,6,4,38,3,3,3,6,0,8,2,24,50,1,15,3,4,8,7,5,8,16,7,0,1,2,40,1,1
United States Virgin Islands,VIR,2010,4,6,4,39,3,3,3,7,0,9,2,24,52,1,16,3,4,8,7,5,8,17,7,0,1,3,41,1,1
United States Virgin Islands,VIR,2011,4,6,4,40,4,3,3,7,0,9,2,25,53,1,16,4,4,8,7,5,8,18,7,0,1,3,42,1,1
United States Virgin Islands,VIR,2012,4,6,4,41,4,3,3,7,0,9,2,25,55,1,16,4,4,8,7,5,8,18,7,0,1,3,43,1,1
United States Virgin Islands,VIR,2013,4,7,4,42,4,3,3,7,0,9,2,26,56,1,17,4,4,9,7,5,9,19,7,0,1,3,44,1,1
United States Virgin Islands,VIR,2014,4,7,4,43,4,3,3,7,0,9,2,26,58,1,17,4,4,9,7,5,9,19,8,0,1,3,45,1,1
United States Virgin Islands,VIR,2015,5,7,4,44,4,3,3,7,0,10,2,26,59,1,17,4,4,9,7,5,9,20,8,0,1,3,46,1,1
United States Virgin Islands,VIR,2016,5,7,4,44,4,3,3,7,0,10,2,26,61,1,17,4,4,9,7,5,9,20,8,0,1,3,46,1,1
United States Virgin Islands,VIR,2017,5,7,4,44,4,3,3,7,0,10,2,27,62,1,17,4,4,9,7,5,9,20,8,0,1,3,46,1,1
United States Virgin Islands,VIR,2018,5,7,4,44,4,3,3,7,0,10,2,27,63,1,18,4,4,10,7,5,9,21,8,0,1,3,47,1,1
United States Virgin Islands,VIR,2019,5,7,4,45,4,3,3,7,0,10,2,28,65,1,18,4,4,10,7,5,9,21,8,0,1,3,48,1,1
